objectid,filename,youtubeid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,iglink
coll011,https://lh3.googleusercontent.com/d/1sXrlD1TUSRF7-jgtwHfzxveTnCUdV5AY,,M27. LIKE THE PEACH,,,"Pigafetta records Philippine edibles similar to those in other parts of insular Southeast Asia. He also notes some not included in his Philippine stories. One of them is Guava that he tasted in the Malucho islands. He describes it as tasting like peach. In Renaissance art, the peach symbolised purity; a rotten or half-eaten one meant a woman's reputation was compromised. Other foods specified by Pigafetta are almonds, sweet and tasty pomegranates, watermelons, wild cucumbers, gourds, and comulicai similar to a large cucumber. He made a vocabulary of ""words spoken by Moro people in the area"" (also called ""A Malay Vocabulary"") noting they had only been there for the last 50 years having pushed the indigenous peoples upland to where the clove trees grow wild. In central Philippines he listed as food ""roots like turnips"" but he had no word for them. In the vocabulary he calls them ubi. The word guave comes from guayaba, used in Spanish and likely from a Taino word as spoken in the Caribbean. It seems guava originated in Mexico, Central and South America, and the Carribean.",Antonio Pigafetta; Malucho Islands; guava,Magellan Menu,,,"BOY WITH A BASKET OF FRUIT. Attributed to Caravaggio. 1593, around 33 years after Pigafetta died. Galleria Borghese, Rome. https://commons.wikimedia.org/wiki/File:Boy_with_a_Basket_of_Fruit-Caravaggio_(1593).jpg",,Image;Still Image,image/png,,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://www.instagram.com/p/B4R5d0PHpkt/
coll012,https://lh3.googleusercontent.com/d/1ZQ4WsYyTe4pnZ1tWTa6bFMJAKQwICnKi,,M29. HUNGRY FOR HOME,,,"Pigafetta had been eating tropical Asian food since March 1521 when he entered Visayan waters. In the Philippines he learned to eat insular Southeast Asian style: seated on a mat instead of on a chair at a table. While some places had wooden or golden spoons, he knew eating with fingers (of only the right hand in Muslim areas) was common. Rulers had porcelain and gold plates and serving dishes. One ate coconut meat chunks or rice cooked as solid as bread. Rice was the desired cereal, a food eaten in Spain and Italy because Moors from the Near East had cultivated it when they ruled Spain. Everywhere there was swine, goat, poultry, fish. One had to carry them live and slaughter as needed. The crew did not have salt to preserve the cuts while they sailed, he wrote. All around the region were coconut, banana, possibly also sugarcane. Praus bartered firewood needed for cooking on board. Water could be bought in long bamboo tubes that needed to be stored upright. One needed attractive fabrics, hats, clothing, glass beads, and metal to exchange for food. Otherwise one used kidnapping for ransom, storming small villages, and capturing laden boats to secure food. The easterly winds they had been waiting for were blowing but they were unsure how to get home. Portuguese knew the route but they were the enemy and needed to be avoided at all costs. On December 21, 1521 Pigafetta headed off from Asia for Africa and Europe. They had been gone since August 10, 1519.",Antonio Pigafetta,Magellan Menu,,,"“India Que Orientalists decitur et el Insular Adiacentes” by William Blaeu, 1635.",,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4WVctcntuv/
coll013,https://lh3.googleusercontent.com/d/1OwSMHIw1FMiQ9hyu06a0EKNwuohRD37o,,M30. PIGAFETTA POSTLUDE (to the 29 vignettes of,,,"Pigafetta's published eyewitness story about the first voyage around the world provides Philippine food writers with a baseline for ingredients and cooking procedures. His snippets also noted there was no great emperor lording over insular Southeast Asia; island kings fought each other even after intermarriage among their families; trade was an important factor for peace and political power; food was traded and given as gifts; feasting together could be a sign of friendship or a means to poison or hack away at guests. There was no campaign to make pagans Muslim. In Tidore, the crew killed all swine on board they had been keeping for food to please the Muslim King, their partner for securing clove and some nutmeg in the Moluccas. He gave them goats and poultry in exchange. It was known in the area and respected that Muslims did not like the looks and smells of pork. The provisions from Asia ran out. All the men on the carrack ""Victoria"" were starving as they reached Africa, but they refused to stop at Portuguese centres for food lest they be captured. The 18 who made it back to Sanlucar and Seville were emaciated. Their captain, Juan Sebastian Elcano (1476-1526), was rewarded by the king with gold ducats and a personal crest bearing the singular motto: Primus circumdedisti me. (You were the first to circumnavigate me.) His coat of arms is decorated with clove and cinnamon, appropriately. Ironically Elcano (and expedition leader Loaisa) died from malnutrition in the Pacific Ocean as they headed to the Moluccas in 1525. The epic story that is the human quest for food is fascinating!",Antonio Pigafetta; Juan Sebastian Elcano; Victoria; Tidore; Sanlucar; Seville; Moluccas,Magellan Menu,,,,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4XE-VQHJRq/
coll014,https://lh3.googleusercontent.com/d/1C9PCnlFKXBTpigYWAS3Ja_roMmRFNhOJ,,M28. COCONUT SAVIOUR,,,"As Pigafetta and his companions wound up their time in the islands of Southeast Asia, they loaded up on fresh coconuts. After receiving two at Homonhon Island in March he wrote about how a coconut tree provided bread, wine, oil and milk. The size of a human head, a nut has a green husk thicker than two fingers. Certain filaments in the husk make a cord with which to bind native boats. Under the husk is a hard shell thicker than a walnut's that is burned and made into a useful powder. [Medicinal] Under that shell is a white marrowy substance one finger in thickness eaten fresh with meat and fish as if it were bread. It tasted like almond to him; he explained it could be dried and eaten, too. In the middle of the marrowy substance is a clear, sweet, refreshing water. When that water stands for a while after having been collected, it congeals and becomes like an apple. He described making a butter-like oil by boiling coconut marrow and water that had putrefied (fermented). When they wish to make vinegar, they let pure coconut water ferment under the sun. He learned to make coconut milk by scraping the marrow, mixing it with its own water, then straining it through cloth. He was told one tree could live to be a hundred years old. A family of ten persons could live off two trees. Indeed he found Asia's tree of life.",Antonio Pigafetta; coconut; Homonhon Island,Magellan Menu,,,,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4UinahnvVW/
coll015,https://lh3.googleusercontent.com/d/1srz9Kv2DDXWxsGqJllrlBnEW2N-alhTh,,M26. RANSOMED FOR FOOD,,,"Throughout Pigafetta's trip around insular Southeast Asia, a major concern was stocking water, fire wood and food. In those days there was yet no food with a long shelf-life. Although fabrics, clothing, metal, hats, glass beads and other items were carried to trade for food, capturing a boat and taking prisoners to be ransomed for food was a common strategy. Word spread it was best to feed the foreigners and let them be off on their quest. On July 29, 1521 (3 months after Magallanes died), Pigafetta's colleagues captured a feared captain-general of the Bornean king. He turned out to be the son of the ""king of Luzon."" Pigafetta used ""king"" for lack of another term to mean the head or chief of a community or state whatever its size. Giovan Carvaio, their pilot, let the prince go in exchange for gold! Finding food to feed the voyagers continued as they continued circling the globe. Image shows real gold barter rings. They came as small as a thumbnail to larger than a big bracelet.",Antonio Pigafetta; Giovan Carvaio,Magellan Menu,,,GINTO: History Wrout in Gold by Ramon Villegas for Bangko Sentral ng Pilipinas.,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4OPIFVHW3N/
coll016,https://lh3.googleusercontent.com/d/1Z5bOmnbMPOKzYnL6oZsMM1ZsFW83R-V9,,M25. 1521 FOODIE FAVES,,,"Although the ingredients recorded by Pigafetta are few when compared to today’s, many foods could have been made with just them. Foods today that could have been made during Pigafetta’s short visit in 1521 include among many others: paksiw and kilaw without chili, inihaw, bagoong, salted fish, towa, tinowa, tola, tinola, sinigang, linaga, pakang, pinais, guinataan, priyaparan a manok, palitaw, daral, suman, puto, putti mandi, puto maya, tupig, junay, pinakro, buko juice, tuba, lambanog, tapay. Image is from “Culinary Culture of the Philippines” 1976 Bancom Pigafetta’s memoirs are important descriptions of RP food before new ingredients arrived from Mexico and other Spanish colonies in the Americas such as tomato, chili, corn, cacao. There was yet no kalamansi or large eating mango, and no sugarcane syrup or sugarcane sugar. They are for another set of food history stories.",Antonio Pigafetta; memoirs,Magellan Menu,,,,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4KbpqZHylI/
coll017,https://lh3.googleusercontent.com/d/1Axat9txtFuW5lBbdQ60YfmTp8yYcB9lc,,M24. A TASTE OF VISAYAN FOOD,,,"The first circumnavigation crew would have satisfied their tastebud cravings the way Visayans did. One of Pigafetta’s most important observations is that the natives knew natural fermentation: coconut vinegar and alcoholic beverages of coconut, nipa, and rice. Before fermentation, tuba was sweetish. Along with honey, ripe fruits, and fresh sugarcane juice one’s sweet tooth could be satisfied. Tastebuds are warning devices of the human body, alerting when there is not enough or a surfeit of a taste that could cause sickness, even emotional imbalance. Sourness came from the coconut vinegar and native lemon. Salty was satisfied by salt. In fact Pigafetta found some dishes too salty. What could have been bitter? Charred meat as well as cinnamon and clove if they chewed on them. Maybe foraged fruits and leaves? Umami desire was satisfied by savory, “proteiny” cooked meats and meaty broths. No tastebud has been found reacting only and specifically to piquancy, so it is considered a mouth feel. Raw garlic and ginger provided the pricking to perk up a meal. Even if Pigafetta likely left out describing other culinary experiences, what he did describe celebrates how Filipinos used their surroundings to satisfy tastebuds, hunger and the dream of a good meal. In food history writing one has to avoid presuming ingredients, tools, and processes were around when they are not mentioned. Future sources are sure to mention them as our forthcoming vignettes will explain.",Antonio Pigafetta; fermentation,Magellan Menu,,,"LAPULAPU by Fernando Amorsolo, 1951. On display at Manila Hotel.",,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4C_buZHriR/
coll018,https://lh3.googleusercontent.com/d/11Zz85AaxI_l3odhFgrdIlKbOvfv7RbLF,,M23. FLAVOURING PINOY FOOD,,,"One immediately notes that Pigafetta does not describe Filipino dishes using any of the spices that were commercial commodities along the ancient silk route. It is only when he gets to Borneo that he mentions being served refreshments of cloves and cinnamon. He finds the best cinnamon growing, though, on “the island of Butuan and Calaghan” and after leaving Visayan islands for good, finds cloves in 5 islands making up the Moluccas. But residents of the Visayas knew the spices the Portuguese bought. In Cebuano, Pigafetta records MANISSA for pepper, CHIANCHE for clove, MANA for cinnamon. Ginger was the only spice Pigafetta ate in the Philippines; it was freshly harvested and accompanied roasted fish and rice.",Antonio Pigafetta; spices,Magellan Menu,,,Photo of spices and a Chinese compass by FSM,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B4AhEADnend/
coll019,https://lh3.googleusercontent.com/d/1ZgVbmQ6fPhJlNWgFGP6cZwW49iYgKbwJ,,M22. PIGAFETTA’S ELEPHANT RIDE,,,"In addition to roasting and cooking in a clay pot, Pigafetta identified a third cooking procedure practised in 1521: baking. It is first mentioned as the way cakes of rice and millet wrapped in leaves were made. The cakes were part of the ritual to consecrate a pig for sacrifice. Likely the thickly wrapped cakes were baked inside mounds of hot ash, even the remains of fires used for roasting. (The beehive oven was introduced much later.) While sailing in southern waters he arrived at Borneo. On June 15, 1521 three praus from there brought foods including rice wrapped in leaves. Some resembled sugar loaves in size and shape; others were somewhat longish. There was also rice made in the manner of tarts using egg and honey. He was fetched later by 2 elephants with silk trappings to bring him to and from the Borneo king. The elephants were preceded by a dozen men carrying porcelain jars covered with silk and containing the crew’s gifts. Borneo is really close geographically to the Philippines. One wonders if it is true that the Sultan of Sulu had elephants, their 2 progenitors a gift from the ruler of Java that is also nearby. Dwarf elephants lived on Luzon 2,580,000 to 11,700 years ago. Possibly on Panay, too. They may have been the size of a dog like my rottweiller. ctto “Siamese Army on the March” 1893. Wild elephants were tamed into service as beasts of burden for agriculture, transportation, and even warfare.",Antonio Pigafetta; Sultan of Sulu; King of Borneo; baking; Luzon; Panay,Magellan Menu,,,,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B3_FldrncLC/
coll020,https://lh3.googleusercontent.com/d/1R_JbRu8tCPS8Le7_V0o5H3GHwc1sTbE9,,M21. WHEN THE HOLY CHILD FOUND ITS CEBU HOME,,,"On April 14, 1521 Magallanes gave Rajah Humabon’s primary consort, Hara Humamay (baptised Juana), a statue of the Holy Child Jesus made in the Flemish style. Pigafetta recorded that at the time there was not only roasting but, in earthenware pots, cooking. Perhaps the broths with fish or pork were made in them. But he also recorded cooking in bamboo tubes. Broths can be cooked in them as well in shells. Pigafetta preferred the rice cooked in bamboo to that cooked in a pot. He wrote that leaves were used as a pot liner when rice was cooked. In Cebu tagnáwan tree leaves were known in the 19th century to serve the purpose. One wonders if they may have been used because Pigafetta knew banana leaves but did not say they lined pots. In the Philippines the earliest earthenware so far found by the Philippine National Museum is 7,340 years old and from Tawi-Tawi. Pots allow new forms of cooking and give us soups, stews, porridges, and a host of other dishes. ctto If you want to see the Holy Child given in 1521 (shown in photo), it is lovingly conserved at its basilica in Cebu City.",Ferdinand Magallanes; Rajah Humabon; Hara Humamay; earthenware,Magellan Menu,,,,,Image;Still Image,image/png,,,,https://www.instagram.com/p/B38ndaynCc-/
coll021,https://lh3.googleusercontent.com/d/1WMONV6Q1qBpDddXjt3dqYjnVPFxqCVZJ,,M20. GETTING AUTHENTIC,,,"During Lapulapu’s lifetime there was roasting. Pigafetta proves that by writing in 1521 that he ate roast pork and fish. But he doesn’t reveal if the roasting was done on a spit, using something like a barbecue stick or skewer, or laid on a grill that might have been made of wood. Roasting is an early, basic cooking technique. One only needs an open fire to roast. RP archaeological sites in Tawi Tawi and Butuan, areas within the scope of Pigafetta’s voyage had remains of cooked food, likely roasted, as far back as 7,000 years ago and the 11th and 12th centuries of the Common Era, respectively. It was likely 400,000 to 360,000 BC when our ancestor, Homo erectus hominid (Peking man) of the Middle Pleistocene era used fire to cook hunted deer.",Lapu-lapu; Roasting; Antonio Pigafetta,Magellan Menu,,,LAPULAPU painted by Fernando Amorsolo in 1951. It is at Manila Hotel for all to view.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B353dzUnShb/
coll022,https://lh3.googleusercontent.com/d/1fDNwoR1s6TLJN6c9sl2TE9sdXe1saf-9,,M19. PINOY FOOD 1521,,,"Pigafetta is responsible for the first written and published evidence of the Filipino diet. He recorded that the following were eaten in central Philippines: sugarcane, rice, honey, salt, hog, goat, chicken, LAGHAN kind of sea snails, millet, sorghum, ginger, garlic, orange and lemon (local types), egg (chicken, tabon and turtle), cocoanut, vinegar (of coconut), bat as large as an eagle, different kinds of fish, crab, “roots resembling turnip in taste,” nangka, gourds, bananas of different varieties, camote (written as BATATE in the Italian manuscript). One can imagine what dishes were made with them, although no names and recipes were given. He even offers the first description of how natives used coconut as food. Pigafetta provides a glimpse into Philippine cooking ingredients of 1521.",Filipino Diet,Magellan Menu,,,"BAPTISM IN CEBU by Fernando Amorsolo, 1948. Collection: Bangko Sentral ng Pilipinas",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B34HFfDHHgQ/
coll023,https://lh3.googleusercontent.com/d/1GNFXzh6QOE_VPKGBoBFp4pacvpEtW-St,,M18. THE KNIGHT WRITER,,,"Antonio Pigafetta joined the circumnavigation voyage last minute. He was not its official chronicler but because of his post-sail book, “First Voyage Around the World,” became its popular voice. The logbook of Victoria, the only ship of five that made it back was written by Francisco Albo from its arrival in Brazil till its return to Spain. Pigafetta was made a Knight of the Order of Rhodes (and Malta) for his valour. His family resided in a “palacio” – although not a grand and large one when compared with those of royalty. It has an escutcheon with white above, black below, with a white transverse bar running left to right. It’s motto was “No rose without a thorn.” His curiosity about people’s and places benefits Philippine food scholars greatly. More about his observations in coming posts. ctto Image shows a medieval outfit of a Knight of Rhodes. The order still exists.",First Voyage; Knight of the Order of Rhodes,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B314tdhnZaU/
